url,title,description
/,Nodemailer,"Send e-mails with Node.JS – easy as cake with zero runtime dependencies"
/license,License,"MIT No Attribution license information and donation options for Nodemailer"
/usage,Usage,"Get started with Nodemailer: installation, creating transporters, and sending messages"
/usage/using-gmail,Using Gmail,"Send email through Gmail using OAuth2 or App Passwords with important caveats"
/message,Message configuration,"Configure email message fields including from, to, subject, text, html, and attachments"
/message/attachments,Attachments,"Attach files using various content sources: strings, buffers, streams, files, or URLs"
/message/alternatives,Alternatives,"Include alternative representations of content like Markdown in multipart/alternative"
/message/addresses,Address object,"Email address formats: plain string, formatted with display name, or object notation"
/message/calendar-events,Calendar events,"Embed iCalendar files in emails for calendar integration with Accept/Decline controls"
/message/embedded-images,Embedded images,"Embed images directly inside HTML body using Content-ID (cid:) URL scheme"
/message/list-headers,List headers,"Add RFC 2369 List-* headers for mailing list functionality like unsubscribe links"
/message/custom-headers,Custom headers,"Add or override message headers at message level or for individual attachments"
/message/custom-source,Custom source,"Provide pre-built RFC822/EML source instead of letting Nodemailer generate it"
/smtp,SMTP transport,"Main transport in Nodemailer for delivering messages via the SMTP protocol"
/smtp/envelope,SMTP envelope,"Control MAIL FROM and RCPT TO commands independently from visible message headers"
/smtp/pooled,Pooled SMTP Connections,"Keep TCP/TLS connections open and reuse them for high-volume email sending"
/smtp/testing,Testing SMTP,"Test email sending with Ethereal Email mail-catcher service without spamming real inboxes"
/smtp/well-known-services,Well-Known Services,"Connection presets for 60+ popular SMTP providers like Gmail, SendGrid, and AWS SES"
/smtp/oauth2,OAuth2,"Use OAuth2 access tokens instead of passwords for secure SMTP authentication"
/smtp/customauth,Custom authentication,"Extend SMTP transport with custom authentication mechanisms like NTLM or CRAM-MD5"
/smtp/proxies,Proxy support,"Connect to SMTP servers through HTTP CONNECT or SOCKS proxies"
/smtp/dsn,Delivery Status Notifications (DSN),"Request delivery, delay, or failure status notifications for outgoing messages"
/transports,Other transports,"Alternative delivery mechanisms: sendmail, SES, stream, and community transports"
/transports/sendmail,Sendmail transport,"Pipe generated RFC 822 messages to local sendmail or compatible binary"
/transports/stream,Stream transport,"Generate RFC 822 messages as streams, Buffers, or JSON for testing or custom delivery"
/transports/ses,SES transport,"Deliver email through Amazon SES using the official AWS SDK v3"
/plugins,Plugins,"Extend Nodemailer with custom logic at compile, stream, or transport phases"
/plugins/create,Create plugins,"Write custom plugins for message pre-processing, stream transformation, or transport"
/dkim,DKIM,"Add cryptographic DKIM signatures to outgoing messages for domain verification"
/extras,Extra modules,"Companion libraries for receiving, composing, parsing, and previewing email"
/extras/smtp-server,SMTP Server,"Create custom SMTP and LMTP server instances with authentication and message handling"
/extras/smtp-connection,Testing SMTP,"Low-level SMTP client for establishing outbound connections to mail servers"
/extras/mailparser,MailParser,"Streaming email parser that converts RFC 822 messages into structured JavaScript objects"
/extras/mailcomposer,Mailcomposer,"Generate RFC 822-formatted email messages that can be streamed or saved to disk"
